Cu,Ag,Al,B,Ce,Co,Cr,Er,Fe,Hf,Mg,Mn,Nb,Ni,Sc,Si,Sn,Ti,Y,Zn,Zr,year,source_reliability,homogenization temperature (℃),homogenization time (h),solution temperature (℃),solution time (h),CR1,Temp1 (℃),time1 (h),CR2,Temp2 (℃),time2 (h),CR3,Temp3 (℃),time3 (h),alloy classification,process classification,hot rolling or forging,y_name,y_data,hot_rolling_temp,hot_rolling_reduction
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,398.03,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,27.71,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,448.2,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,28.83,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,478.2,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,30.09,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,508.28,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,30.78,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,548.36,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,29.76,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,398.03,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,26.17,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,448.11,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,27.72,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,478.28,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,29.0,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,508.28,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,29.33,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,548.36,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,26.4,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,510.0,0.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,23.78,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,510.0,0.48,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,28.84,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,510.0,1.0,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,30.91,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,510.0,2.01,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,30.93,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,510.0,3.02,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,31.29,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,510.0,0.45,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,26.83,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,510.0,0.94,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,29.5,,
51.76,0.0,1.21,0.0,0.0,0.0,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.8560060190072045,,,930.0,0.5,,510.0,1.97,,,,,,,Cu-Cr-Al,one-step aging,-,conductivity,29.6,,
