Cu,Ag,Al,B,Ce,Co,Cr,Er,Fe,Hf,Mg,Mn,Nb,Ni,Sc,Si,Sn,Ti,Y,Zn,Zr,year,source_reliability,homogenization temperature (℃),homogenization time (h),solution temperature (℃),solution time (h),CR1,Temp1 (℃),time1 (h),CR2,Temp2 (℃),time2 (h),CR3,Temp3 (℃),time3 (h),alloy classification,process classification,hot rolling or forging,y_name,y_data,hot_rolling_temp,hot_rolling_reduction
99.18,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,0.09,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,81.93,,
99.18,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,1.04,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,118.71,,
99.18,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,2.02,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,137.03,,
99.18,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,3.98,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,139.85,,
99.18,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,5.94,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,136.58,,
99.18,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,7.89,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,136.14,,
99.25,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.29,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,0.09,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,87.82,,
99.25,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.29,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,1.04,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,138.81,,
99.25,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.29,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,2.01,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,158.51,,
99.25,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.29,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,3.98,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,162.28,,
99.25,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.29,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,5.95,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,147.03,,
99.25,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.29,2018.0,0.8680060190072045,,,950.0,1.0,,450.0,7.9,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,159.01,,
99.4,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2018.0,0.8680060190072045,,,1050.0,4.0,,289.91,1.0,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,116.56,,
99.4,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2018.0,0.8680060190072045,,,1050.0,4.0,,390.37,1.0,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,127.75,,
99.4,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2018.0,0.8680060190072045,,,1050.0,4.0,,490.37,1.0,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,136.54,,
99.4,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2018.0,0.8680060190072045,,,1050.0,4.0,,589.91,1.0,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,132.05,,
99.4,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2018.0,0.8680060190072045,,,1050.0,4.0,,689.91,1.0,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,117.66,,
99.4,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2018.0,0.8680060190072045,,,1050.0,4.0,,789.91,1.0,,,,,,,Cu-Cr-Zr,one-step aging,-,hardness,107.4,,
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,450.0,0.0,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,119.07,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,450.0,0.336333333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,125.28,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,450.0,0.577333333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,132.15,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,450.0,0.828333333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,129.12,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,450.0,1.074333333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,126.9,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,450.0,1.576333333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,127.45,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,450.0,2.078333333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,128.91,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,450.0,4.076333333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,128.76,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,450.0,6.079333333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,126.13,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,450.0,8.082333333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,127.88,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,400.0,0.0,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,114.31,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,400.0,0.210833333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,113.92,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,400.0,0.476833333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,118.59,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,400.0,0.727833333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,122.73,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,400.0,1.470833333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,132.7,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,400.0,1.972833333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,133.43,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,400.0,3.981,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,136.79,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,400.0,5.978833333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,136.2,900.0,0.5
99.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020.0,0.8800060190072045,,,,,,400.0,7.976833333,,,,,,,Cu-Cr-Zr,one-step aging,900℃@50%,hardness,132.7,900.0,0.5
