feature,pearson_r_with_target
Cu,-0.5209175916580489
total_alloying_excl_Cu,0.5209175916580367
minor_alloying_excl_CuCrZr,0.5104911546066501
Ni,0.49627252894111834
Sn,0.44773549349396446
Si,0.3705534953928102
homogenization_index,0.28327978923669356
homogenization time (h),0.2825952710636109
Y,-0.2646295934462066
aging_temp_range,0.2600434910288648
B,-0.20658027002638965
hot_rolling_reduction,-0.18745050032380953
mean_aging_temp,-0.1861385883442109
total_aging_time,0.17508419910340714
weighted_mean_aging_temp,-0.17142926510800718
time2 (h),0.171242972109817
solution temperature (℃),0.1651390369702329
aging_index2,0.1452058047908015
Temp1 (℃),-0.1405667840640916
Cr_Zr_ratio,-0.13717183749713202
solution_index,0.13680314271673483
solution time (h),0.1360943328872632
Cr_aging_interaction,0.13435945579637637
CR2,-0.13279215428275967
Fe,0.12723190733770112
Co,0.12063162886990171
Er,-0.11640710721645432
max_aging_temp,-0.11467887372659216
deformation_aging_interaction,0.11385420416410778
total_CR,0.10168640685205789
Nb,-0.10080654082739567
CR1,0.08958701053065626
Sc,-0.08772099106462532
source_reliability,-0.08453144951593473
year,0.08379195674942193
Temp2 (℃),-0.07897846161549547
Ti,0.06842264929347239
Zr,-0.06499853444153333
Zn,0.06358664394467255
Cr,0.05806597278508626
time1 (h),0.05516141834038983
Cr_Zr_sum,0.051290096393693085
Cr_Zr_product,0.0363477468264462
homogenization temperature (℃),-0.03289494673129634
Ag,-0.028250244935563856
Zr_aging_interaction,0.026286861758155377
Mg,0.02126951964731983
aging_index1,0.01965524080829752
hot_rolling_temp,-0.011685435452888
